trial_id,jointly_reported_strata,directly_comparable_strata,directly_comparable_percent
TRIAL001,11,3,27.3
TRIAL002,10,8,80.0
TRIAL003,6,4,66.7
TRIAL004,5,1,20.0
TRIAL005,2,0,0.0
TRIAL006,1,0,0.0
TRIAL007,1,0,0.0
TRIAL008,1,0,0.0
TRIAL009,2,0,0.0
TRIAL011,5,0,0.0
TRIAL012,2,0,0.0
TRIAL013,1,0,0.0
TRIAL014,2,1,50.0
TRIAL015,2,0,0.0
TRIAL019,1,0,0.0
TRIAL020,1,0,0.0
