trial_id,analysis_tier,comparison_count,trial_count,safety_concept_count,mean_abs_diff_pp,median_abs_diff_pp,max_abs_diff_pp,zero_diff_count,within_1pp_count,within_2pp_count,within_5pp_count
TRIAL001,sensitivity_candidate,3,1,3,1.60,2.00,2.70,0,1,2,3
TRIAL002,primary_candidate,12,1,6,0.08,0.00,1.00,11,12,12,12
TRIAL002,sensitivity_candidate,4,1,1,5.64,5.39,6.53,0,0,0,0
TRIAL003,primary_candidate,6,1,4,0.43,0.40,0.80,1,6,6,6
TRIAL004,primary_candidate,1,1,1,1.80,1.80,1.80,0,0,1,1
TRIAL014,primary_candidate,2,1,1,0.01,0.01,0.03,1,2,2,2
