comparison_id,trial_id,ae_concept,source_1,source_2,arm_id_1,arm_id_2,denominator_1,denominator_2,percentage_1,percentage_2,absolute_percentage_difference,analysis_tier,analysis_use,grade_basis,review_status,source_confirmation_status
FULLCOMP000052,TRIAL002,adverse_event_leading_to_discontinuation,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,8.0,8.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000055,TRIAL002,adverse_event_leading_to_discontinuation,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,10.0,10.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000056,TRIAL002,any_adverse_event,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,98.0,98.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000059,TRIAL002,any_adverse_event,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,100.0,100.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000060,TRIAL002,dose_interruption,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,54.0,54.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000063,TRIAL002,dose_interruption,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,62.0,62.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000064,TRIAL002,dose_reduction,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,29.0,29.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000067,TRIAL002,dose_reduction,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,41.0,41.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000073,TRIAL002,fatal_adverse_event,publication,FDA review,TRIAL002_EG000,TRIAL002_EG000,95,95,3.0,3.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
FULLCOMP000081,TRIAL002,fatal_adverse_event,publication,FDA review,TRIAL002_EG001,TRIAL002_EG001,99,99,7.0,7.0,0.00,primary_candidate,primary_analysis_candidate,automatic_A_from_full_cohort_matrix,auto_source_confirmed_needs_final_audit,auto_source_confirmed
