reason,non_comparable_stratum_count,percent
ClinicalTrials.gov mortality record not classifiable as fatal adverse-event reporting,17,47.2
"Serious adverse-event reporting differed by registry group, arm, population, or window metadata",10,27.8
FDA regulatory safety population or definition not aligned with publication stratum,9,25.0
