safety_concept,publication,ClinicalTrials.gov,FDA review
Any AE,17/23 overall; 17/23 available,0/23 overall; 0/19 available,4/23 overall; 4/6 available
Grade >=3 AE,19/23 overall; 19/23 available,0/23 overall; 0/19 available,5/23 overall; 5/6 available
Serious AE,11/23 overall; 11/23 available,19/23 overall; 19/19 available,5/23 overall; 5/6 available
Fatal AE,16/23 overall; 16/23 available,0/23 overall; 0/19 available,5/23 overall; 5/6 available
Discontinuation,13/23 overall; 13/23 available,0/23 overall; 0/19 available,5/23 overall; 5/6 available
Interruption/delay,9/23 overall; 9/23 available,0/23 overall; 0/19 available,4/23 overall; 4/6 available
Dose reduction,11/23 overall; 11/23 available,0/23 overall; 0/19 available,5/23 overall; 5/6 available
All-cause mortality record,0/23 overall; 0/23 available,19/23 overall; 19/19 available,0/23 overall; 0/6 available
