analysis_set,comparison_count,trial_count,safety_concept_count,mean_abs_diff_pp,median_abs_diff_pp,max_abs_diff_pp,zero_diff_count,within_1pp_count,within_2pp_count,within_5pp_count
all_confirmed,28,5,7,1.17,0.07,6.53,13,21,23,24
primary_candidate,21,4,7,0.26,0.00,1.80,13,20,21,21
sensitivity_candidate,7,2,3,3.91,5.26,6.53,0,1,2,3
